epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.804,1.13794,1.25032,1.01051,0.46724,0.30867,0.33966,0.20471,1.24598,1.27451,1.06446,0.000331197,0.000331197,0.000331197
2,494.422,1.1471,0.96017,1.0141,0.66444,0.36258,0.39528,0.24137,1.16431,1.06779,1.03903,0.000657951,0.000657951,0.000657951
3,730.792,1.1405,0.9244,1.01521,0.53143,0.33724,0.3692,0.22114,1.25328,1.33473,1.08072,0.000978106,0.000978106,0.000978106
4,965.555,1.14803,0.92066,1.0143,0.55559,0.32958,0.36753,0.22544,1.20658,1.17886,1.05648,0.0009703,0.0009703,0.0009703
5,1200.81,1.11119,0.86763,1.00145,0.55543,0.35316,0.39189,0.24269,1.20828,1.07881,1.06937,0.0009604,0.0009604,0.0009604
6,1435.18,1.09957,0.85662,0.999,0.53941,0.34791,0.39539,0.25008,1.13956,0.98818,1.02628,0.0009505,0.0009505,0.0009505
7,1669.53,1.07934,0.8288,0.99031,0.51898,0.37084,0.39125,0.24693,1.14541,0.9934,1.03104,0.0009406,0.0009406,0.0009406
8,1904.63,1.06716,0.8103,0.98381,0.55889,0.38016,0.41702,0.26496,1.12671,0.971,1.01835,0.0009307,0.0009307,0.0009307
9,2140.19,1.04395,0.78351,0.97591,0.58358,0.40421,0.44597,0.27852,1.11748,0.90056,1.02136,0.0009208,0.0009208,0.0009208
