epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14390.1,0.9899,0.7072,0.94001,0.58395,0.397,0.43708,0.27529,1.08648,0.87319,0.99147,0.0005941,0.0005941,0.0005941
43,14715,0.97907,0.70163,0.93864,0.58532,0.4027,0.44253,0.27756,1.09933,0.8929,0.99789,0.0005842,0.0005842,0.0005842
44,15039.6,0.98322,0.70608,0.94202,0.59411,0.40684,0.45413,0.28876,1.09223,0.85912,0.99557,0.0005743,0.0005743,0.0005743
45,15318.9,0.9848,0.70409,0.93864,0.58878,0.40813,0.44899,0.2828,1.08417,0.869,0.99034,0.0005644,0.0005644,0.0005644
46,15552.5,0.97835,0.69752,0.93802,0.64648,0.40486,0.45729,0.29012,1.06903,0.83592,0.98712,0.0005545,0.0005545,0.0005545
47,15785.5,0.97515,0.69301,0.93905,0.63035,0.40975,0.45792,0.28864,1.08309,0.84624,0.99024,0.0005446,0.0005446,0.0005446
48,16018.8,0.97878,0.69531,0.93658,0.60608,0.39793,0.4479,0.28326,1.09949,0.87363,0.99988,0.0005347,0.0005347,0.0005347
49,16251.9,0.9747,0.68808,0.93758,0.57344,0.4012,0.44357,0.28029,1.08617,0.85651,0.99108,0.0005248,0.0005248,0.0005248
50,16485,0.96914,0.68586,0.93785,0.60586,0.39089,0.44557,0.28176,1.08811,0.87152,0.98888,0.0005149,0.0005149,0.0005149
51,16718.2,0.96863,0.68339,0.93372,0.61953,0.40515,0.45599,0.28922,1.08025,0.84782,0.99174,0.000505,0.000505,0.000505
52,16950.9,0.96631,0.68163,0.93378,0.63254,0.40965,0.45976,0.29226,1.07174,0.83067,0.98636,0.0004951,0.0004951,0.0004951
53,17183.9,0.96364,0.67832,0.93125,0.60871,0.40511,0.45376,0.28958,1.07555,0.84559,0.99147,0.0004852,0.0004852,0.0004852
54,17416.9,0.96648,0.67923,0.93244,0.59824,0.41886,0.46277,0.29383,1.0805,0.8395,0.99259,0.0004753,0.0004753,0.0004753
55,17650,0.95971,0.67115,0.93251,0.62974,0.39637,0.45464,0.28825,1.0852,0.85744,0.99449,0.0004654,0.0004654,0.0004654
56,17883.4,0.95839,0.66968,0.93113,0.57544,0.41955,0.45548,0.29207,1.06939,0.83675,0.98709,0.0004555,0.0004555,0.0004555
57,18117.1,0.94849,0.6624,0.92862,0.63249,0.39923,0.45614,0.29076,1.07811,0.84638,0.99203,0.0004456,0.0004456,0.0004456
58,18350.4,0.95352,0.66519,0.93037,0.61671,0.40539,0.45783,0.29044,1.07833,0.84319,0.98899,0.0004357,0.0004357,0.0004357
59,18583.5,0.95822,0.66729,0.92951,0.61859,0.4054,0.45764,0.28974,1.06533,0.82579,0.98496,0.0004258,0.0004258,0.0004258
60,18816.8,0.94285,0.65527,0.92633,0.63326,0.40431,0.45901,0.2909,1.07133,0.83204,0.98936,0.0004159,0.0004159,0.0004159
61,19049.7,0.93127,0.64786,0.92358,0.60797,0.41226,0.45824,0.29228,1.06851,0.82464,0.98827,0.000406,0.000406,0.000406
62,19283.1,0.94745,0.6592,0.9265,0.61732,0.41225,0.45961,0.2933,1.07031,0.82437,0.98358,0.0003961,0.0003961,0.0003961
63,19515.8,0.94896,0.65925,0.92583,0.60454,0.41462,0.4644,0.29667,1.06147,0.82566,0.98164,0.0003862,0.0003862,0.0003862
64,19749.1,0.94115,0.6517,0.92517,0.61585,0.4109,0.46637,0.29556,1.06833,0.82952,0.98515,0.0003763,0.0003763,0.0003763
65,19981.7,0.94601,0.64924,0.92537,0.60566,0.41411,0.46208,0.29353,1.06826,0.82914,0.98393,0.0003664,0.0003664,0.0003664
66,20214.4,0.93763,0.64482,0.92398,0.61777,0.41324,0.46566,0.29751,1.06585,0.83071,0.98613,0.0003565,0.0003565,0.0003565
67,20447.6,0.93317,0.64428,0.92236,0.62234,0.40923,0.46175,0.29421,1.06458,0.83122,0.98309,0.0003466,0.0003466,0.0003466
68,20680.7,0.92962,0.64001,0.92004,0.61634,0.41479,0.46224,0.29448,1.06514,0.83179,0.98333,0.0003367,0.0003367,0.0003367
69,20913.5,0.92462,0.63707,0.91998,0.61738,0.41222,0.46689,0.29712,1.06625,0.82702,0.98648,0.0003268,0.0003268,0.0003268
70,21146.9,0.92877,0.63821,0.9221,0.61635,0.41675,0.46611,0.2957,1.06649,0.82637,0.98954,0.0003169,0.0003169,0.0003169
71,21380.7,0.92491,0.63375,0.91953,0.62383,0.41521,0.4631,0.29435,1.06983,0.83279,0.98517,0.000307,0.000307,0.000307
72,21613.2,0.92228,0.63215,0.91547,0.63106,0.41519,0.46597,0.29724,1.064,0.82327,0.98468,0.0002971,0.0002971,0.0002971
73,21846.6,0.92465,0.62659,0.91715,0.64609,0.41322,0.46527,0.29569,1.06494,0.82707,0.98546,0.0002872,0.0002872,0.0002872
74,22080,0.91339,0.62455,0.91612,0.62571,0.4148,0.46456,0.29685,1.06616,0.8305,0.98733,0.0002773,0.0002773,0.0002773
75,22313.2,0.92352,0.6262,0.91689,0.62906,0.41012,0.46723,0.29826,1.06175,0.82481,0.98403,0.0002674,0.0002674,0.0002674
76,22545.9,0.91011,0.61993,0.91557,0.64173,0.40838,0.46829,0.29745,1.06228,0.82654,0.9837,0.0002575,0.0002575,0.0002575
77,22779.3,0.91741,0.62209,0.91677,0.63193,0.41446,0.47066,0.29759,1.06107,0.81784,0.98606,0.0002476,0.0002476,0.0002476
78,23013,0.90959,0.61969,0.91476,0.61755,0.41878,0.4714,0.29882,1.06411,0.82648,0.98756,0.0002377,0.0002377,0.0002377
79,23245.6,0.90856,0.61306,0.91306,0.61083,0.41433,0.46704,0.29645,1.06265,0.8264,0.98393,0.0002278,0.0002278,0.0002278
80,23479.3,0.90866,0.61202,0.91276,0.59885,0.41928,0.46269,0.29481,1.06484,0.82689,0.9858,0.0002179,0.0002179,0.0002179
81,23712.1,0.90186,0.60939,0.91205,0.62029,0.41222,0.46697,0.29653,1.06475,0.82875,0.98541,0.000208,0.000208,0.000208
82,23945.7,0.90384,0.61055,0.91173,0.61664,0.4162,0.46903,0.29822,1.05846,0.82111,0.98306,0.0001981,0.0001981,0.0001981
83,24179,0.89431,0.60284,0.90945,0.61825,0.4165,0.46702,0.29639,1.05817,0.82484,0.98216,0.0001882,0.0001882,0.0001882
84,24413.1,0.89419,0.60156,0.91097,0.625,0.40465,0.46473,0.29436,1.06002,0.82949,0.98396,0.0001783,0.0001783,0.0001783
85,24645.8,0.89575,0.607,0.90834,0.61121,0.41515,0.4662,0.2951,1.05915,0.82666,0.98337,0.0001684,0.0001684,0.0001684
86,24878.3,0.89231,0.602,0.90855,0.62799,0.40911,0.46401,0.29405,1.06198,0.83251,0.98412,0.0001585,0.0001585,0.0001585
87,25111.8,0.894,0.60132,0.90698,0.61497,0.40751,0.46099,0.29325,1.06562,0.83269,0.98622,0.0001486,0.0001486,0.0001486
88,25344.8,0.89627,0.59896,0.90802,0.59923,0.41513,0.46204,0.29322,1.0649,0.82827,0.98708,0.0001387,0.0001387,0.0001387
89,25578.1,0.88828,0.59622,0.90823,0.59051,0.41707,0.46133,0.29336,1.06576,0.83046,0.98653,0.0001288,0.0001288,0.0001288
90,25811.1,0.88812,0.59464,0.90671,0.60993,0.40383,0.46062,0.29351,1.06446,0.82785,0.98647,0.0001189,0.0001189,0.0001189
91,26063.9,0.89073,0.58682,0.90104,0.56807,0.42144,0.4549,0.28963,1.07419,0.83721,0.99118,0.000109,0.000109,0.000109
92,26293.2,0.88253,0.57133,0.89954,0.60799,0.40648,0.45613,0.28943,1.07603,0.83658,0.99065,9.91e-05,9.91e-05,9.91e-05
93,26523.3,0.87748,0.56958,0.89444,0.59266,0.41689,0.45756,0.2899,1.0757,0.83643,0.98979,8.92e-05,8.92e-05,8.92e-05
94,26753.3,0.87725,0.56892,0.89533,0.57536,0.41553,0.45475,0.28917,1.07718,0.84063,0.99042,7.93e-05,7.93e-05,7.93e-05
95,26983.3,0.87355,0.56685,0.8935,0.58579,0.41471,0.4555,0.28934,1.0756,0.83776,0.98961,6.94e-05,6.94e-05,6.94e-05
96,27213.3,0.86816,0.5615,0.8941,0.5787,0.41782,0.45638,0.29095,1.07673,0.8388,0.99043,5.95e-05,5.95e-05,5.95e-05
97,27443.1,0.86657,0.55979,0.89344,0.59619,0.40643,0.45778,0.29096,1.07556,0.83779,0.98996,4.96e-05,4.96e-05,4.96e-05
98,27673.1,0.86613,0.5591,0.8937,0.60003,0.40886,0.45957,0.29226,1.0759,0.83865,0.99054,3.97e-05,3.97e-05,3.97e-05
99,27902.3,0.86352,0.55595,0.89152,0.59981,0.40841,0.45972,0.29267,1.07604,0.83877,0.99157,2.98e-05,2.98e-05,2.98e-05
100,28132.3,0.86073,0.55628,0.89164,0.60496,0.40548,0.45894,0.29209,1.07558,0.83972,0.99173,1.99e-05,1.99e-05,1.99e-05
