epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18710.1,0.98638,0.70792,0.94206,0.55455,0.4016,0.43466,0.27559,1.09561,0.88094,0.99219,0.0005941,0.0005941,0.0005941
43,19161.5,0.98555,0.70788,0.94058,0.59038,0.40597,0.44881,0.2827,1.09609,0.86146,0.99516,0.0005842,0.0005842,0.0005842
44,19612.1,0.97843,0.69882,0.94027,0.60056,0.40628,0.45647,0.28817,1.0868,0.85265,0.99004,0.0005743,0.0005743,0.0005743
45,20064.3,0.98321,0.70176,0.9387,0.58072,0.40707,0.4467,0.28229,1.08714,0.87091,0.99127,0.0005644,0.0005644,0.0005644
46,20506.9,0.98283,0.6963,0.94064,0.61083,0.41159,0.45861,0.29126,1.09188,0.86496,0.99834,0.0005545,0.0005545,0.0005545
47,20937.6,0.98226,0.69862,0.93986,0.58202,0.4159,0.45968,0.28969,1.08332,0.84167,0.98974,0.0005446,0.0005446,0.0005446
48,21380.1,0.97911,0.69497,0.93845,0.58447,0.41578,0.45367,0.28808,1.07482,0.84881,0.98504,0.0005347,0.0005347,0.0005347
49,21812.9,0.96653,0.68391,0.93612,0.58316,0.42123,0.4539,0.28802,1.06659,0.83278,0.9787,0.0005248,0.0005248,0.0005248
50,22260.6,0.96555,0.68372,0.93356,0.59547,0.40846,0.44951,0.28444,1.07981,0.85571,0.99159,0.0005149,0.0005149,0.0005149
51,22711.5,0.97633,0.68675,0.93705,0.59168,0.40091,0.43896,0.27953,1.08294,0.86646,0.98853,0.000505,0.000505,0.000505
52,23161,0.96585,0.68045,0.93352,0.56583,0.40298,0.44085,0.28075,1.08738,0.85812,0.99371,0.0004951,0.0004951,0.0004951
53,23611.7,0.9637,0.68037,0.93408,0.58089,0.41584,0.451,0.28842,1.06724,0.84739,0.98212,0.0004852,0.0004852,0.0004852
54,24062,0.95578,0.66934,0.9292,0.61844,0.40152,0.45714,0.29136,1.06757,0.83299,0.98074,0.0004753,0.0004753,0.0004753
55,24499,0.95359,0.66955,0.92996,0.60652,0.41719,0.46225,0.29428,1.06181,0.82698,0.98197,0.0004654,0.0004654,0.0004654
56,24935.7,0.95218,0.66674,0.92724,0.59568,0.41329,0.45724,0.28864,1.08047,0.84201,0.98913,0.0004555,0.0004555,0.0004555
57,25377.9,0.96081,0.66974,0.92939,0.55351,0.42006,0.44937,0.28348,1.08527,0.84413,0.99365,0.0004456,0.0004456,0.0004456
58,25811.6,0.95041,0.66246,0.92894,0.60187,0.39852,0.45015,0.28528,1.0772,0.84709,0.98854,0.0004357,0.0004357,0.0004357
59,26262.1,0.95072,0.65698,0.92852,0.61933,0.40718,0.46036,0.29027,1.0729,0.83827,0.9874,0.0004258,0.0004258,0.0004258
60,26712.4,0.94687,0.65849,0.92614,0.5833,0.41074,0.45403,0.28609,1.07482,0.843,0.98875,0.0004159,0.0004159,0.0004159
61,27162.7,0.94775,0.65524,0.92611,0.60608,0.41055,0.45831,0.28972,1.08432,0.84409,0.99429,0.000406,0.000406,0.000406
62,27612.8,0.94146,0.65422,0.92477,0.58681,0.42793,0.4606,0.29011,1.07053,0.83945,0.98492,0.0003961,0.0003961,0.0003961
63,28063.7,0.94408,0.65453,0.92621,0.60598,0.40977,0.46502,0.29539,1.07225,0.83343,0.97982,0.0003862,0.0003862,0.0003862
64,28494.6,0.93531,0.64933,0.92043,0.59533,0.4179,0.45983,0.28989,1.07775,0.83681,0.98828,0.0003763,0.0003763,0.0003763
65,28933.7,0.93118,0.64697,0.91987,0.60701,0.41705,0.46293,0.29348,1.07914,0.82609,0.99029,0.0003664,0.0003664,0.0003664
66,29375.7,0.93853,0.64667,0.92097,0.58833,0.41964,0.46383,0.29433,1.06796,0.82893,0.9845,0.0003565,0.0003565,0.0003565
67,29811.7,0.93019,0.64258,0.92035,0.6054,0.40772,0.46016,0.29148,1.08024,0.83786,0.98937,0.0003466,0.0003466,0.0003466
68,30262.1,0.92685,0.63775,0.92009,0.58706,0.41763,0.46522,0.29587,1.071,0.82497,0.98786,0.0003367,0.0003367,0.0003367
69,30712.6,0.9242,0.63487,0.9201,0.57809,0.41493,0.45529,0.2879,1.073,0.83441,0.98796,0.0003268,0.0003268,0.0003268
70,31162.5,0.91868,0.63029,0.91712,0.6099,0.40778,0.45863,0.29022,1.08149,0.8323,0.98571,0.0003169,0.0003169,0.0003169
71,31613.6,0.92072,0.63198,0.91741,0.59798,0.42284,0.46825,0.29642,1.06496,0.82628,0.98097,0.000307,0.000307,0.000307
