epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.88,1.40354,2.46,1.08931,0.88758,0.07576,0.20884,0.13361,1.33767,2.88012,1.01343,0.00032906,0.00032906,0.00032906
2,524.373,1.25363,1.33409,1.0343,0.41109,0.25599,0.26791,0.15397,1.38343,1.71364,1.06332,0.000629605,0.000629605,0.000629605
3,759.637,1.25696,1.22351,1.03412,0.4282,0.30076,0.31301,0.18579,1.30357,1.35436,1.06133,0.00089715,0.00089715,0.00089715
4,994.149,1.23233,1.12565,1.03088,0.64596,0.29867,0.32281,0.19286,1.29245,1.27158,1.08356,0.0008515,0.0008515,0.0008515
