epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20784.1,0.88203,0.60117,0.91371,0.64238,0.46022,0.51628,0.33641,1.01442,0.76798,0.97718,0.0005941,0.0005941,0.0005941
43,21306.1,0.8782,0.6001,0.90966,0.64757,0.44834,0.5071,0.32782,1.02229,0.77264,0.97773,0.0005842,0.0005842,0.0005842
44,21811.7,0.87344,0.59002,0.9105,0.65367,0.45439,0.51059,0.33128,1.01795,0.78098,0.97776,0.0005743,0.0005743,0.0005743
45,22303.9,0.87895,0.59249,0.90973,0.63703,0.46219,0.50766,0.33089,1.02334,0.77512,0.98131,0.0005644,0.0005644,0.0005644
46,22795.8,0.87716,0.58791,0.91119,0.66115,0.46466,0.52052,0.33874,1.01746,0.76168,0.98015,0.0005545,0.0005545,0.0005545
47,23287.2,0.87507,0.58969,0.90884,0.66597,0.46407,0.52363,0.33974,1.0101,0.76512,0.97152,0.0005446,0.0005446,0.0005446
48,23778.7,0.87188,0.58539,0.90779,0.6639,0.45748,0.51772,0.34101,0.99905,0.75801,0.97045,0.0005347,0.0005347,0.0005347
49,24280,0.85932,0.57585,0.90553,0.66975,0.45455,0.51862,0.34065,1.00088,0.77085,0.97145,0.0005248,0.0005248,0.0005248
50,24792.3,0.86248,0.57547,0.90504,0.65641,0.46863,0.51634,0.33672,1.00867,0.78148,0.97715,0.0005149,0.0005149,0.0005149
51,25315.5,0.86613,0.57389,0.90549,0.68077,0.46559,0.52154,0.34327,0.98806,0.75391,0.96265,0.000505,0.000505,0.000505
52,25818.2,0.85704,0.57163,0.90303,0.66455,0.46451,0.52333,0.34367,1.0003,0.75036,0.96997,0.0004951,0.0004951,0.0004951
53,26309.7,0.85329,0.56807,0.903,0.66752,0.46755,0.52183,0.34415,0.99933,0.75356,0.97457,0.0004852,0.0004852,0.0004852
54,26800.6,0.84776,0.56354,0.90063,0.68371,0.47084,0.52911,0.34832,0.99818,0.75705,0.9718,0.0004753,0.0004753,0.0004753
55,27291.6,0.84747,0.56414,0.89922,0.68261,0.47622,0.53657,0.35465,0.99123,0.7476,0.96838,0.0004654,0.0004654,0.0004654
56,27784.1,0.84373,0.55827,0.89594,0.63498,0.47238,0.5171,0.33897,1.00557,0.76993,0.97206,0.0004555,0.0004555,0.0004555
